,食品,服飾,住宿,交通,文教康樂,其他,食品,服飾,住宿,交通,文教康樂,其他,食品,服飾,住宿,交通,其他,食品,服飾,住宿,交通,文教康樂,其他,食品,服飾,住宿,交通,文教康樂,其他
103,789680035.4,394840069.2,420553360.1,303855913.7,326704637.4,875941241.8,3510567144,1167555488,1678481314,2744222890,6717126137,21866655373,688984697.9,204313437.8,325303141.2,786927713.5,871311081.6,672153766.3,150698737.3,283056384.5,203283442.2,513869529.4,822435830.6,438674776.6,133979409.3,285363788.3,471066908,378679312.7,452200271.2
104,887097220.2,182561526.6,443845605,251913231.1,366077682.6,938994530.3,3993894023,1289248334,1746513520,2561458659,7368508641,25945665232,789247070.8,223145229.5,340899662.2,789620227,954499034.7,731920216.6,155559953.3,304818558.7,175717657.4,537546288,870472829.2,504881293,144958749.9,306982998,395930192.8,428826782.7,475802078.7
105,768468083.3,433479909.8,621045427.1,578984576.9,628957664.2,1483267089,3751438898,1029196407,1467925334,3221807567,6834735438,28394099334,843967741,190550864,352516841.7,795289908.3,962402452.6,1317341078,315438394.2,580200254.8,536120735.3,1121645053,1589756801,484393549.2,138601691.1,297320495.9,263872067.2,407457736.5,461192833.3
106,1107230747,399479885,593933106.8,573925087.2,704892894,1555390429,3545654905,1013546946,1558093592,3169583500,7166318277,27898695044,736836822.3,198532465,360818392.4,983612562.9,948540823.8,1249401710,308294353.5,608392096.9,563859743.4,1230180680,1582875470,414464274.9,134928456,317794579.6,264121716.2,446474510.7,498255440.3
107,1262524537,408264264.4,600496756.7,618087598.8,738752641.7,1532814507,3701062949,1027533656,1562906986,3224063318,7413399172,50900919482,829252289.7,200099352.5,356438337.5,1058746748,894726190.5,1389984778,324640196.6,634677444.3,578639849.7,1302016547,1536721769,461646663.3,137466808.6,330889083.1,348747721,415359585.6,545034335.3
